entry,emotion
"You'll notice that the chemist, who appears in two scenes and gets to speak, is played by Stephen King. ""Don't give up your day job"" is the standard thing to say, but that's not fair. King acquits himself reasonably well: he's no worse than any other member of the cast, and better than most. The story, on the other hand, is pure rubbish. Please, give up your day job.<br /><br />Never have I seen so many dreadful performances - of which the lead actor's (the LEAD ACTOR'S!) is probably the worst - gathered together in the one film. Everyone acts hammily, but not in any entertaining way; they all somehow manage to go over-the-top without expending, or manifesting, energy. I blame screenwriter/director Tom Holland. It can't be that ALL the actors are REALLY this bad. What are the odds against that? Admittedly, I've never heard of any of them before, but still, I don't think I could walk into a talent agency and walk out with this many bad performers if I tried: ONE actor, despite my best efforts, would turn out to have talent. So what's more likely - that Tom Holland rolled a dozen consecutive snake-eyes, or that he wrote a lousy script and then directed it poorly? That would also explain why actors are bad in direct proportion to their prominence in the script. The more direction an actor got, the worse he performed. (""You want me to bend over like a hunchback, talk from the back",A
"OK, so, Chuck Norris somehow found a way to get this sequel produced. I have one question-why? Who read this script and said, ""Sound's great! Original!"" This movie is regurgitated crap that I wouldn't tarnish my toilet bowel with. Of course it is another story, following in the tradition of MIA, Invasion USA, Walker, Texas Ranger, Delta Force and so on in which Chuck Norris, of course, is the one man who can same America from some bad guys. He doesn't even need a gun most times. It's stupid patriotic jargon that stales the mind. Big surprise that the only one who will direct these Norris film's is Chuck's son Eric. Eric Norris has primarily worked on all his father's films and TV shows. Doesn't this strike anyone as a sign that he has no directing talent? Afterall, he's directing the same people as before in the same stories as before...only difference is the characters' names. If this is supposed to make me patriotic and cheer for the USA, than our country is in much worse shape than I ever imagined. Hopefully, this will be the nail in Chuck Norris's acting coffin.",A
"I caught this movie on FX last night, and as I was sitting there watching it, it occurred to me that it could quite possibly be the worst movie ever. Bad acting, bad cinematography, bad sound, totally unbelievable fight sequences, stupid characters. All these made it up to be the most laughably bad movie I've ever seen. It was so bad, I was enthralled by it's sheer lack of anything semi-competent that I had to keep watching... and they made a sequel!",A
"I'm into bad movies but this has NOTHING going for it. Despite what the morons above have said, it is NOT funny. I know comedy AND underground movies but this is so boring that the Director / Writer should be prohibited from EVER directing anything but local cable access EVER again! To love movies and comedy is to despise this film. I may never get over how unfunny and boring this work was. If you like this movie you ARE a pothead as sober there is NOTHING here. ZERO! If you need to compare underground movies, see ""Kentucky Fried Movie"" or early John Waters. The movie starts by defining satire and I defy anyone to show me the satire. The rule for comedy is THIS ... If it's FUNNY you can say or do ANYTHING but if it's NOT funny you are not satirical, you are not edgy, you are merely pathetic and this movie is simply not funny. ZERO!",A
"(Rating: 21 by The Film Snob.) (See our blog What-To-See-Next for details on our rating system.)<br /><br />Here's a movie that will have you clawing at your own face in an attempt to earn release from the on-screen tedium. <br /><br />You'll not be wringing your hands, nor rolling your eyes, nor sighing into your popcorn. No indeed. For a movie of *this* averagousity, only clawing at your own face will do. <br /><br />When you begin to claw your own face -- as begin you must! -- start in at the lower portion. You'll need your upper portion, with its handy tear ducts, intact for the Truly Tear-jerking third act which may bring you to your knees if you haven't clawed your way clear of the entire theatre by then. <br /><br />In a season celebrating Joe Six-Pack and Hockey Moms as the new Gold Standard for leadership and foreign diplomacy, permaybe a movie this tedium will be welcomed as A Thing that anyone could create. *Watching* it, however, is a much more dangerous undertaking. <br /><br />Here's our story... <br /><br />Sidney Young, the London publisher of a fourth-tier celebrity/entertainment magazine is just about to see his magazine go under. He needs a miracle, and what he gets is a phone call from New York City, in the USA.<br /><br />The publisher of Sharp's magazine, Clayton Harding (played by Jeff Bridges) says ""Come work for me!"" With his own employees carrying out the fax machine out of his",A
"I read one other review that expressed the view that Platoon was a never ending cycle of marines killing people, being killed, taking drugs and talking trash.<br /><br />I don't agree with that because the film actually had more to it, but it a way, I can see what this person is trying to say: this had no real plot - which is a point i agree with.<br /><br />It is self-indulgent Stone at his best. He really wanted to show, not only how war leads to death, but also how it is extremely traumatic on those who survive. Unfortunately, the film seems to over ""glorify"" this aspect and the grand finale is just way too champagne, grand-standing, Oscar-hunting ""let's create an enduring image"" for my liking.<br /><br />The problem I have with Stone and other film-makers of his ilk is that they fail to understand this simply concept: depicting the terribly bloody deadly waste that war is DOES NOT PROVE OR EVEN REFLECT ON WHETHER it was an unjust or immoral war. We have seen the same thing emerge at the moment with Iraq. In case you're missing the point, let me put it to you bluntly: if you saw how truly bloody the second world war was and how destructive it was on the lives of the surviving soldiers, would you think it was an unjust war? If that fact alone doesn't convince you that it was an unjust war, then why should depictions of the horrors of",A
"I think this is probably one of the worst movies I've watched in a long time.<br /><br />Trying to get the 'same characters' with different people is *such* a bad idea. If they couldn't get Sara Michelle G. and Ryan P. in this one, they should have just cut their losses and said to heck with it. Instead they get NEW actors that are horrible at what they did. I seriously felt like I was at a High School or (bad) College play with the lever of acting these people put forth.<br /><br />Where do they get some of these people? Was this their first movie? It sure seemed like it.<br /><br />This movie also parallels the original in a few lines of speech. I had just got done watching the first one and popped #2 in. I was all excited to get to watch the second one and it ended up being the worst show I've seen in a while. I don't hardly EVER *EVER* turn off a movie, but this one definitely went off after about 30 - 40 min.",A
"This is the worst adaption of a classic story I have ever seen. They needlessly modernize it and some points are actually just sick.<br /><br />The songs rarely move along the story. They seem to be thrown in at random. The flying scene with Marley is pointless and ludicrous.<br /><br />It's not only one of the worst movies I've seen, but it is definitely the worst musical I've ever seen.<br /><br />It's probably only considered a classic because ""A Christmas Carol"" is such a classic story. Just because the original story was a classic doesn't mean that some cheap adaption is.",A
"""Extreme Makeover: Home Edition"" is yet another 'feel-goody', so-called 'heart warming', and out-for-ratings show that ABC has had the time to put together.<br /><br />I understand the troubles that these families go through. For that, I am sorry. But wouldn't you think that putting four wide-screen plasma televisions, three flat-screen desktop computers, an inground pool taking up half of a backyard, and closets full of expensive designer clothing is a BIT too excessive for ANY family? Sure, these families have been through a lot. Sure, they deserve nicer things that what they had previously had.<br /><br />But honestly, the things that Ty Pennington and his crew put into these houses are enough to suit an entire neighborhood.<br /><br />Another thing that really irks me about this show is how Ty and his crew always have something good to say about every little thing that relates to the family, or the family's condition. Telling a wheelchair-bound person that he or she is 'so strong', or 'very brave' really does get old after a while. That may sound rude, but believe me; watch this show, and you'll see what I mean.<br /><br />All in all, this show is overrated. If you want to watch it, go ahead. This comment is just a heads-up for what you'd be watching.",A
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level. As for the claim that frontal male nudity is an automatic NC-17, that isn't true. I've seen R-rated films with male nudity. Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia? Nowhere, because they don't exist. The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight. And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny. Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man. In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica. This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.",A
"You know you're in trouble when the opening narration basically tells you who survives. It all goes downhill from there. Unnecessary, ""Matrix""-influenced bullet-time camera work. Pointless cuts to video game footage. Crusty old sea captains and wacky seamen. Ravers who become skilled combatants in the blink of an eye. Even the zombies are boring.<br /><br />I was hoping for at least a ""so bad it's good"" zombie movie, but this one is ""so bad those involved with its creation should be barred from ever making a movie again"".<br /><br />",A
"If you like the standard Sly flicks that involve over the top action, unbelievable stunts (unbelievable is not intended to be complimentary here), and retarded dialogue; you will love this steaming pile of mountain goat dung. I had high hopes based on the trailer. I thought that Stalone was going to be forced in his ""has-been"" days to yield to smarter people and make an action film that would place a credible hero in a credible situation where the story, setting, and (believable) action would prevail. I crave action that is at least close enough to reality that you can imagine the fear and excitement that would come from such an event. My limited knowledge of hypothermia and its effects rendered at least one scene laughably ridiculous. Judge Dredd is only better because you know going into the theater that you are going to see a comic book made into a movie. The character, setting and everything else are beyond comparison to anything we might encounter ourselves. Cliffhanger on the other hand turns a mountain climbing guide into Rambo before you can say ""yo, Adrian!""",A
"What can you say about a grainy, poorly filmed 16mm stag film, where the best and most attractive performer is a German Shepherd? Nothing that would be positive. Avoid this travesty at all costs. In any case, it would be difficult to find, since bestiality remains a taboo and illegal subject in the USA. I strongly suggest IMDb to re-visit their weighting formula for establishing ratings, since an 8.8 rating for this piece of fecal matter is absurd! I am, by no means, a prude and have spent many hours enjoying the classic porn movies of the 70's & 80's; but this is inferior product even by the looser standards of the (then illegal) stag loop.",A
"Evidently when you offer a actor enough money they will do anything. I am not sure how much John Rys-Daves got, but most of the money he made should go to his fans as an apology for even being associated with such a ROTTEN movie. The special effects were worse then effects from the 1950's B movies and the acting of the rest of the cast was even worse. As to how bad the acting was a child gave the second best performance in my opinion. The English was terribly accented and I think no one could really even speak English they just memorized how the words should sound instead of memorizing the script and trying to make their character both ""life-like"" and real.",A
"MINOR SPOILERS!<br /><br />Well i just sat up late and watched this film, mainly because i enjoyed and rated some of Singleton's earlier work like ""Boyz n the hood"". However, i have to say this was a major disappointment and is everything i hate about contrived, clichéd, so-called ""message"" movies. <br /><br />The acting is mainly poor,(pop stars and models do NOT necessarily make good actors...take note), the situations hard to swallow, (rape victim becomes overnight lesbian?...please!), but worst of all it reinforces every screwed up stereotype you can think of. By the second half of the film it has become cartoon like in its characterisation, making you lose any shred of empathy you may have had for its one-dimensional players.<br /><br />Not once is any valid point made about the inherent causes of racism and cultural, sexual and political ignorance. As a result it merely ends up sensationalising the results of these problems. It's message is contradictory, resulting in a sense of confusion and a general lack of plot cohesion. As for the films conclusion i found it predictable, embarrassing, exploitative and mildly offensive. For a film called ""Higher Learning"" i have to say all i learned is to avoid seeing this ever again.<br /><br />If you want a true comment on some of the themes that this film completely fails to elaborate upon then go hire ""American History X""....unless you were just watching it for Tyra Banks then go hire a life.",A
"...let me count the ways.<br /><br />1. A title-only 'remake' that pulls out every cliché in the slasher handbook.<br /><br />2. A plot so predictable that it becomes quite pathetic.<br /><br />3. A completely weak execution of all attempts at suspense or thrills.<br /><br />4. A PG-13 rating that insures no gore, violence, or sex.<br /><br />5. A villain that is not frightening or even mysterious.<br /><br />6. A cast of characters that are so thinly written and stereotyped that we couldn't possibly care about them.<br /><br />7. A lack of any effectively creepy atmosphere (much unlike the original Prom Night).<br /><br />8. A script of dialog that's beyond poor - it's mind numbing. <br /><br />9. A series of cardboard performances (not sure whether to blame the actors or the lousy aforementioned script for that).<br /><br />10. A completely inept teen-targeted slasher remake that's not brave enough to attempt to have an imagination - or even to show a puddle of blood.<br /><br />It's a no-brainer horror fans, save your money.<br /><br />BOMB out of ****",A
"This has to be one of the 5 worst movies ever made. The plot looked intriguing like that of Passenger 57. But with the latter movie it somehow worked a lot better. The plot has been worked out in the worst possible way. Just a few of the awful moments in the movie, A flight attendant is standing in the opened doorway of a flying 747 and trying to close the door without being sucked out by the 250 mile per hour winds?!? Thereafter the lands the aircraft from a few miles out starting at 8000 feet, thats impossible even for 747 pilots with thousands of hour experience. When on the runway (perfectly straight of course) she is instructed to pull on the flaps, HUH!! Come on flaps are there to ensure lift at low speeds, when on the runway you use thrust reverse on the engines and give maximum power! I can go on and on about little and mostly big mistakes in the movie, but then my reply would become the size of the English dictionary. This is a movie you want to miss, take my word for it!",A
There is no doubt that this film has an impressive cast but unfortunately this doesn't help with the major downsides to the movie. I never understand why directors ask actors/actresses to use accents not their own when it is obvious to everyone they can't convince. Fiennes just can't do Irish and Fitzgerald isn't much better at Russian. When the voice is wrong then no matter how good the acting the character will never be convincing. As the for the major problem....the plot....was there one? I guess there was some sort of storyline involved but it was so full of holes that I just couldn't wait for the film to end...it was ridiculous. Save 90 minutes of your life and don't watch this movie!,A
Sometimes you wonder how some people get funding to create a movie as bad as this one. You can only stand about 5 minutes of this utter piece of garbage before you stomp back into blockbuster and demand your money back. I will now look at Michael Clarke Duncan with apprehension...why....he lent his name to this vermin.,A
"""The house of the spirits"" is quite awful. I live in South America, in a country that suffered a military dictatorship just like the one the movie tries to describe, and even though everyone knows movies may be far far away from reality, this particular movie treats viewers as both ignorant and stupid. Things are not so simple and linear as appears here, and of course political process are much more complicated and interesting that the plot in ""The house..."". If you can't show that complexity on screen is better not making a movie at all. There are a lot of examples of how can politics be seriously taken in cinema, without so many commonplaces. In some parts I felt that Carmen Miranda may appear within parrots and palm trees. When you talk about certain things you must be not only careful but respectful to your public's intelligence.",A
"I am guessing the reason this movie did so well at the box office is of course Eddie Murphy. I think this was his first movie since ""Beverly Hills Cop"" so at the time he was hot. Considering that one made over two hundred million and it was R and this one made about 80 million and it was pg does say it was not all that popular. I have never been a big Eddie Murphy fan, so that is probably another reason I didn't care for it much at all. This one has Eddie as some sort of finder of lost kids. He must find the golden child or the world is in terrible peril. The plot is very bad, but as bad as it is it does not compare to the special effects. I had seen better stuff done in the 70's than some of the stuff this one offers, Ray Harryhausen did better stuff. Still the main reason you see a movie like this is because of Eddie, unfortunately he is not very funny in this one at all and it just seems stupid to put him in the ""Raiders of the Lost Ark"" type scenes. I guess they were hoping for a fish out of water effect, but to me it just did not work.",A
"Allow me to start this review by saying this: I love vampire movies. They can suck (har har pun intended), and I'll still love them because vampires are just cool in movies. Van Helsing, considered by many to be a steaming pile of crap, was enjoyable to me because of the fact that there were vampires. You may ask: ""What does that have to do with this movie?"" The answer is that I intend to inform you of how horrible this movie truly is, that even a sucker (harharhar) for vampire movies like me can despise a movie like this so much.<br /><br />The movie stars Van Helsing, a college professor guy who isn't at all convincing. He's a terrible actor, like everyone else in this movie, and he wrote it, to add salt to the wound. I honestly to not mean to offend him, and I'm sure everyone had fun making this movie, but watching it was actually painful. I'm not sure why I watched the whole thing; perhaps it was a morbid fascination, like watching an impending train crash: it's horrible, but you can't manage to force yourself to look away. Its main fault is that it's just so ****ing boring, and its plot is so damn ridiculous, even for a science fiction horror movie.<br /><br />But, I digress. By the way, Van Helsing has sex with his mom. Of course, he doesn't know it's her at the time; he just thinks it's one of his students (which",A
"There is good. There is bad. And then their is The Sentinel, a bottom-barrel political ""thriller"" that ranks among the worst movies I have ever seen. The plot of a mole in the Secret Service is a good one, but never has a movie with so much potential been so utterly butchered. Directed with ham-handed ""edginess"" by Clark Johnson, every actor in this film seems to be working on autopilot. Even the great Michael Douglas looks bored here. I can honestly say I have NEVER, in all my life, viewed another film with so many glaring plot holes. The twist is predictable from square one, and the character's motives are so utterly ridiculous that they inspired laughter from the audience. Avoid this at all costs. This is a catastrophe of a movie with no redeeming value.",A
"One would think that a film about a young person's coming to terms with his burgeoning homosexuality would be anything but boring. Think again. This production should be bottled and sold as a cure for insomnia because it's about ten times as potent as any sleep aid on the market. It's almost as if the film maker *considered* making a movie, but got lazy and decided instead to run a series of random (and randomly BORING) images and go-nowhere scenes, throw in a couple of actual scenes featuring actual acting, pretend that good lighting ins't important in the film-making process, and wrap it up under the auspices of an ""arthouse"" film. This is exactly kind of crappy product that makes it easy for a lot of traditional film-makers to poo-poo the indie film movement, and which keeps the general public from more easily embracing indie films.<br /><br />If you're interested in films covering this subject matter, you'd be much better off tuning in to some of the great short films available at Logo's website or renting Get Real. Better yet, read Stone Butch Blues. Whatever you do, skip this long-winded piece of dreck.",A
"Wow! I remember so many awful films that loosely revolved around high school from the early 1980s. They usually had someincredibly strained plot and lots of 27 year old actors pretending to be students. As I watched this film I felt a little of the nostalgia of growing up in the 1980s. However, then I find out that this film was made in 1989? Say what! Well, the nostalgia factor ends right there, this is just bad. The plot has the city preparing to close a high school and threatening to bus all of the students to inner city high schools. Which is odd, in that the students at this school are both wealthy and abundant. In fact, the main character lives in a mansion. Makes you wonder how they cannot find money to keep this school alive, have they never heard of property taxes. Oh, but here is the kicker. The school board says that they will keep the school alive, if the students can raise $200,000. So the seniors go about doing this. Hmmm, you raise $200,000 but instead of saving that for college, you put it towards saving the high school that you are a Senior in? And why exactly would they close an overpopulated school before the year is out? And...ahh forget it, this film was stupid and made in 1989!?",A
"Strange... I like all this movie crew and dark humor movies; but didn't like this one at all! It's awful, horrible and surely not funny at all. Pity cannot do a whole movie plot, disgust either. And it was really boring. Long empty moments fills the movie; it could have been removed. It should have been in another shorter format, surely. Maybe i expected too much from the crew - like saving the movie lol -. It's also filled with overused clichés of characters and situations... I don't get it why people liked it... ""Poetry"", ""hope""; nope 'mam, didn't see anything like that! ^^ All in all, it's empty and crude, pitiful and hopeless. Oh darn this one........",A
"Brief summary: This movie demeans everyone it touches. That means you.<br /><br />First off, let me say I'm not a purist, and this might have been funny for a few minutes. The impersonations are not bad. But overall it's just dull and excruciatingly not funny. A few simple jokes are repeated over and over again.<br /><br />It's clear that this movies only exists to squeeze the last few dollars out of the now-trademarked Laurel and Hardy. The producers cannot have any real regard for their place in film history, or their talents. This is what offended me the most.<br /><br />Of course, my daughter liked it, so I'm also a failure as a parent ;)",A
"This is the biggest piece of lamo I've ever watched. It is excruciatingly boring I would have rather sat through a seminar on creationism than have watched this if i had known it was going to be as boring as it was. Not even the 40 seconds of the hot chick in the bikini with the big ta tas redeems this of anything lower than a 1.<br /><br />The reviews of this movie claiming that this movie is ""unintentionally funny"" are absurd and just plain WRONG. Not one thing is funny about this movie. they spend the first 50 or so minutes walking through the woods talking about stuff you wouldn't understand nor care about and it is just as lame when the people start dying because you don't even know who the people are because they are so UNINTERESTING. Honestly though, I didn't watch it to the ending, but that should say something about how horrible it is. WORST MOVIE EVER.<br /><br />Immediately after ejecting this filth from my DVD player I started scraping it against the cement in front of my house, not wanting other blockbuster customers to have to fall upon the same mistake i had made as to rent this movie. Then Zach peed his pants. Thankyou for your time.",A
"This film has to be the worst I have ever seen. The title of the film deceives the audience into thinking there maybe hope. The story line of the film is laughable at best, with the acting so poor you just have to cringe. The title 'Zombie Nation' implies a hoard of zombies when in fact there are six in total. This cannot be categorised as a horror film due to the introduction of cheesy 80's music when the zombies 'attack'. The zombies actually talk and act like human beings in the film with the only difference being the make up which looks like something out a La Roux video. If you ever get the chance to buy this film then do so, then burn the copy.",A
"If you can imagine Mickey Mouse as a New York street pimp, or John Wayne as a Communist spy, then you might believe Pat Boone as a juvenile delinquent on his uncle's farm in Kentucky and you could conceivably enjoy this movie.<br /><br />This film is so stupid that it isn't even campy for a mid 1950s sexless love story. And the problem is that Hollywood made such a big deal about Pat Boone's refusal to kiss a woman not his wife on screen before its release that the audience knows he won't kiss Shirley Jones so you cannot build any anticipation for the ""screen consummation"" of their love. It's sort of like watching a western in which the cowboys don't have guns.<br /><br />The story is pointless. Even the title song is sung with pained enthusiasm.<br /><br />April Love belongs in the worst film bargain bin along with Ishtar and Plan 9 from Outer Space.",A
"Worst movie, (with the best reviews given it) I've ever seen. Over the top dialog, acting, and direction. more slasher flick than thriller.With all the great reviews this movie got I'm appalled that it turned out so silly. shame on you martin scorsese",A
"Distasteful, cliched thriller has young couple doing cross-country research on America's most infamous murder sites, becoming road partners with a dim-witted young woman and her snarling boyfriend--who is an actual psycho. Arty and alienating, the film's tone alternates between pouty pseudo-irony and silly flamboyance. Handsomely-made perhaps, but ultimately laughable. Brad Pitt's performance as the low-rent killer is godawful. * from ****",A
